frames:  1000, reward: -20.000000, loss: 0.000000, epsilon: 0.968855, episode:    1
frames: 42000, reward: -20.800000, loss: 0.030112, epsilon: 0.284267, episode:   47
frames: 43000, reward: -20.700000, loss: 0.015930, epsilon: 0.276587, episode:   48
frames: 44000, reward: -20.800000, loss: 0.000330, epsilon: 0.269159, episode:   49
frames: 45000, reward: -20.800000, loss: 0.000401, epsilon: 0.261974, episode:   50
frames: 46000, reward: -20.800000, loss: 0.000117, epsilon: 0.255024, episode:   52
frames: 47000, reward: -20.800000, loss: 0.030370, epsilon: 0.248303, episode:   53
frames: 48000, reward: -20.700000, loss: 0.000545, epsilon: 0.241802, episode:   54
frames: 49000, reward: -20.800000, loss: 0.039423, epsilon: 0.235514, episode:   55
frames: 50000, reward: -20.800000, loss: 0.015978, epsilon: 0.229432, episode:   56
frames: 51000, reward: -20.800000, loss: 0.015269, epsilon: 0.223549, episode:   57
frames: 52000, reward: -20.800000, loss: 0.016190, epsilon: 0.217860, episode:   58
frames: 53000, reward: -20.800000, loss: 0.000442, epsilon: 0.212357, episode:   60
frames: 54000, reward: -20.800000, loss: 0.043277, epsilon: 0.207034, episode:   61
frames: 55000, reward: -20.700000, loss: 0.014866, epsilon: 0.201886, episode:   62
frames: 56000, reward: -20.700000, loss: 0.000428, epsilon: 0.196906, episode:   63
frames: 57000, reward: -20.700000, loss: 0.016026, epsilon: 0.192090, episode:   64
frames: 58000, reward: -20.700000, loss: 0.000349, epsilon: 0.187432, episode:   65
frames: 59000, reward: -20.700000, loss: 0.000129, epsilon: 0.182926, episode:   67
frames: 60000, reward: -20.800000, loss: 0.030151, epsilon: 0.178569, episode:   68
frames: 61000, reward: -20.800000, loss: 0.000419, epsilon: 0.174354, episode:   69
frames: 62000, reward: -20.700000, loss: 0.000152, epsilon: 0.170277, episode:   70
frames: 63000, reward: -20.600000, loss: 0.045735, epsilon: 0.166334, episode:   71
frames: 64000, reward: -20.600000, loss: 0.000711, epsilon: 0.162520, episode:   72
frames: 65000, reward: -20.500000, loss: 0.045333, epsilon: 0.158831, episode:   73
frames: 66000, reward: -20.500000, loss: 0.015209, epsilon: 0.155263, episode:   74
frames: 67000, reward: -20.500000, loss: 0.000980, epsilon: 0.151812, episode:   76
frames: 68000, reward: -20.500000, loss: 0.001042, epsilon: 0.148474, episode:   77
frames: 69000, reward: -20.500000, loss: 0.015846, epsilon: 0.145246, episode:   78
frames: 70000, reward: -20.400000, loss: 0.001315, epsilon: 0.142123, episode:   79
frames: 71000, reward: -20.500000, loss: 0.001748, epsilon: 0.139103, episode:   80
frames: 72000, reward: -20.600000, loss: 0.000643, epsilon: 0.136182, episode:   81
frames: 73000, reward: -20.600000, loss: 0.003148, epsilon: 0.133357, episode:   82
frames: 74000, reward: -20.700000, loss: 0.001766, epsilon: 0.130624, episode:   83
frames: 75000, reward: -20.700000, loss: 0.002373, epsilon: 0.127981, episode:   85
frames: 76000, reward: -20.600000, loss: 0.024595, epsilon: 0.125424, episode:   86
frames: 77000, reward: -20.600000, loss: 0.006566, epsilon: 0.122952, episode:   87
frames: 78000, reward: -20.400000, loss: 0.001326, epsilon: 0.120560, episode:   88
frames: 79000, reward: -20.500000, loss: 0.020148, epsilon: 0.118247, episode:   89
frames: 80000, reward: -20.400000, loss: 0.000935, epsilon: 0.116009, episode:   90
frames: 81000, reward: -20.400000, loss: 0.004327, epsilon: 0.113845, episode:   92
frames: 82000, reward: -20.400000, loss: 0.014499, epsilon: 0.111752, episode:   93
frames: 83000, reward: -20.500000, loss: 0.002106, epsilon: 0.109728, episode:   94
frames: 84000, reward: -20.500000, loss: 0.001881, epsilon: 0.107770, episode:   95
frames: 85000, reward: -20.600000, loss: 0.001833, epsilon: 0.105876, episode:   97
frames: 86000, reward: -20.800000, loss: 0.001495, epsilon: 0.104044, episode:   98
frames: 87000, reward: -20.800000, loss: 0.000702, epsilon: 0.102272, episode:   99
frames: 88000, reward: -20.900000, loss: 0.001520, epsilon: 0.100558, episode:  100
frames: 89000, reward: -20.900000, loss: 0.015515, epsilon: 0.098901, episode:  101
frames: 90000, reward: -21.000000, loss: 0.000891, epsilon: 0.097298, episode:  103
frames: 91000, reward: -20.900000, loss: 0.001535, epsilon: 0.095747, episode:  104
frames: 92000, reward: -20.900000, loss: 0.029986, epsilon: 0.094247, episode:  105
frames: 93000, reward: -20.900000, loss: 0.000969, epsilon: 0.092797, episode:  106
frames: 94000, reward: -20.900000, loss: 0.000831, epsilon: 0.091394, episode:  107
frames: 95000, reward: -20.900000, loss: 0.004232, epsilon: 0.090037, episode:  109
frames: 96000, reward: -20.800000, loss: 0.001638, epsilon: 0.088724, episode:  110
frames: 97000, reward: -20.700000, loss: 0.009641, epsilon: 0.087455, episode:  111
frames: 98000, reward: -20.700000, loss: 0.001328, epsilon: 0.086227, episode:  112
frames: 99000, reward: -20.700000, loss: 0.000741, epsilon: 0.085039, episode:  113
frames: 100000, reward: -20.700000, loss: 0.014380, epsilon: 0.083890, episode:  114
frames: 101000, reward: -20.500000, loss: 0.001421, epsilon: 0.082779, episode:  115
frames: 102000, reward: -20.400000, loss: 0.000554, epsilon: 0.081705, episode:  116
frames: 103000, reward: -20.200000, loss: 0.000931, epsilon: 0.080665, episode:  118
frames: 104000, reward: -20.200000, loss: 0.000870, epsilon: 0.079660, episode:  119
frames: 105000, reward: -20.300000, loss: 0.001267, epsilon: 0.078688, episode:  120
frames: 106000, reward: -20.400000, loss: 0.001164, epsilon: 0.077747, episode:  121
frames: 107000, reward: -20.400000, loss: 0.001190, epsilon: 0.076837, episode:  122
frames: 108000, reward: -20.300000, loss: 0.012907, epsilon: 0.075958, episode:  123
frames: 109000, reward: -20.300000, loss: 0.001400, epsilon: 0.075107, episode:  124
frames: 110000, reward: -20.600000, loss: 0.000767, epsilon: 0.074283, episode:  126
frames: 111000, reward: -20.600000, loss: 0.002622, epsilon: 0.073487, episode:  127
frames: 112000, reward: -20.800000, loss: 0.002938, epsilon: 0.072717, episode:  128
frames: 113000, reward: -20.800000, loss: 0.001166, epsilon: 0.071973, episode:  129
frames: 114000, reward: -20.700000, loss: 0.000873, epsilon: 0.071252, episode:  130
frames: 115000, reward: -20.600000, loss: 0.000814, epsilon: 0.070556, episode:  131
frames: 116000, reward: -20.500000, loss: 0.002172, epsilon: 0.069882, episode:  132
frames: 117000, reward: -20.500000, loss: 0.000708, epsilon: 0.069230, episode:  134
frames: 118000, reward: -20.300000, loss: 0.001426, epsilon: 0.068599, episode:  135
frames: 119000, reward: -20.300000, loss: 0.000860, epsilon: 0.067990, episode:  136
frames: 120000, reward: -20.300000, loss: 0.007347, epsilon: 0.067400, episode:  137
frames: 121000, reward: -20.000000, loss: 0.001139, epsilon: 0.066829, episode:  138
frames: 122000, reward: -20.000000, loss: 0.002608, epsilon: 0.066278, episode:  139
frames: 123000, reward: -20.100000, loss: 0.000785, epsilon: 0.065744, episode:  140
frames: 124000, reward: -20.100000, loss: 0.001242, epsilon: 0.065228, episode:  141
frames: 125000, reward: -20.200000, loss: 0.000519, epsilon: 0.064729, episode:  142
frames: 126000, reward: -20.300000, loss: 0.001173, epsilon: 0.064246, episode:  143
frames: 127000, reward: -20.400000, loss: 0.001351, epsilon: 0.063779, episode:  144
frames: 128000, reward: -20.400000, loss: 0.001946, epsilon: 0.063327, episode:  145
frames: 129000, reward: -20.400000, loss: 0.001271, epsilon: 0.062890, episode:  146
frames: 130000, reward: -20.400000, loss: 0.000934, epsilon: 0.062468, episode:  147
frames: 131000, reward: -20.700000, loss: 0.003613, epsilon: 0.062059, episode:  148
frames: 132000, reward: -20.400000, loss: 0.003419, epsilon: 0.061663, episode:  149
frames: 133000, reward: -20.400000, loss: 0.002967, epsilon: 0.061281, episode:  150
frames: 134000, reward: -20.100000, loss: 0.000787, epsilon: 0.060911, episode:  151
frames: 135000, reward: -20.100000, loss: 0.000997, epsilon: 0.060554, episode:  152
frames: 136000, reward: -19.700000, loss: 0.002066, epsilon: 0.060208, episode:  153
frames: 137000, reward: -19.700000, loss: 0.004230, epsilon: 0.059873, episode:  154
frames: 138000, reward: -19.900000, loss: 0.003153, epsilon: 0.059549, episode:  155
frames: 139000, reward: -19.800000, loss: 0.003824, epsilon: 0.059236, episode:  156
frames: 140000, reward: -19.700000, loss: 0.002524, epsilon: 0.058933, episode:  157
frames: 141000, reward: -19.700000, loss: 0.002086, epsilon: 0.058641, episode:  158
frames: 142000, reward: -19.900000, loss: 0.004926, epsilon: 0.058357, episode:  159
frames: 143000, reward: -19.900000, loss: 0.000759, epsilon: 0.058083, episode:  159
frames: 144000, reward: -19.500000, loss: 0.001929, epsilon: 0.057818, episode:  160
Save model!
frames: 145000, reward: -19.900000, loss: 0.001307, epsilon: 0.057562, episode:  161
frames: 146000, reward: -19.800000, loss: 0.001805, epsilon: 0.057314, episode:  162
frames: 147000, reward: -20.100000, loss: 0.001740, epsilon: 0.057074, episode:  163
frames: 148000, reward: -20.100000, loss: 0.001590, epsilon: 0.056842, episode:  164
frames: 149000, reward: -20.100000, loss: 0.001422, epsilon: 0.056618, episode:  164
frames: 150000, reward: -20.100000, loss: 0.001429, epsilon: 0.056401, episode:  165
frames: 151000, reward: -20.200000, loss: 0.003661, epsilon: 0.056191, episode:  166
frames: 152000, reward: -20.200000, loss: 0.002668, epsilon: 0.055988, episode:  167
frames: 153000, reward: -20.100000, loss: 0.001515, epsilon: 0.055792, episode:  168
frames: 154000, reward: -20.200000, loss: 0.001866, epsilon: 0.055602, episode:  169
frames: 155000, reward: -20.400000, loss: 0.003791, epsilon: 0.055418, episode:  170
frames: 156000, reward: -20.400000, loss: 0.015483, epsilon: 0.055241, episode:  170
frames: 157000, reward: -20.200000, loss: 0.003754, epsilon: 0.055069, episode:  171
frames: 158000, reward: -20.300000, loss: 0.000670, epsilon: 0.054903, episode:  172
frames: 159000, reward: -19.800000, loss: 0.001171, epsilon: 0.054742, episode:  173
frames: 160000, reward: -19.800000, loss: 0.005602, epsilon: 0.054587, episode:  174
frames: 161000, reward: -19.800000, loss: 0.001168, epsilon: 0.054436, episode:  174
frames: 162000, reward: -19.600000, loss: 0.003909, epsilon: 0.054291, episode:  175
frames: 163000, reward: -19.200000, loss: 0.001882, epsilon: 0.054150, episode:  176
Save model!
frames: 164000, reward: -19.300000, loss: 0.001552, epsilon: 0.054014, episode:  177
frames: 165000, reward: -19.300000, loss: 0.000907, epsilon: 0.053882, episode:  177
frames: 166000, reward: -19.400000, loss: 0.002435, epsilon: 0.053755, episode:  178
frames: 167000, reward: -19.200000, loss: 0.002755, epsilon: 0.053632, episode:  179
frames: 168000, reward: -19.200000, loss: 0.002890, epsilon: 0.053513, episode:  179
frames: 169000, reward: -19.300000, loss: 0.009521, epsilon: 0.053398, episode:  180
frames: 170000, reward: -19.400000, loss: 0.001275, epsilon: 0.053286, episode:  181
frames: 171000, reward: -19.400000, loss: 0.002038, epsilon: 0.053179, episode:  181
frames: 172000, reward: -19.200000, loss: 0.001891, epsilon: 0.053074, episode:  182
frames: 173000, reward: -19.800000, loss: 0.004060, epsilon: 0.052974, episode:  183
frames: 174000, reward: -19.700000, loss: 0.001184, epsilon: 0.052876, episode:  184
frames: 175000, reward: -19.800000, loss: 0.003129, epsilon: 0.052782, episode:  185
frames: 176000, reward: -19.800000, loss: 0.002719, epsilon: 0.052691, episode:  185
frames: 177000, reward: -20.000000, loss: 0.002915, epsilon: 0.052602, episode:  186
frames: 178000, reward: -20.000000, loss: 0.008531, epsilon: 0.052517, episode:  187
frames: 179000, reward: -20.000000, loss: 0.004774, epsilon: 0.052435, episode:  187
frames: 180000, reward: -19.800000, loss: 0.003447, epsilon: 0.052355, episode:  188
frames: 181000, reward: -19.900000, loss: 0.002036, epsilon: 0.052278, episode:  189
frames: 182000, reward: -19.900000, loss: 0.003033, epsilon: 0.052203, episode:  189
frames: 183000, reward: -19.700000, loss: 0.003227, epsilon: 0.052131, episode:  190
frames: 184000, reward: -19.600000, loss: 0.002282, epsilon: 0.052061, episode:  191
frames: 185000, reward: -19.600000, loss: 0.001555, epsilon: 0.051993, episode:  191
frames: 186000, reward: -19.700000, loss: 0.001778, epsilon: 0.051928, episode:  192
frames: 187000, reward: -19.700000, loss: 0.003335, epsilon: 0.051865, episode:  192
frames: 188000, reward: -19.600000, loss: 0.001605, epsilon: 0.051804, episode:  193
frames: 189000, reward: -19.600000, loss: 0.007092, epsilon: 0.051744, episode:  194
frames: 190000, reward: -19.600000, loss: 0.002150, epsilon: 0.051687, episode:  194
frames: 191000, reward: -18.900000, loss: 0.004951, epsilon: 0.051632, episode:  195
Save model!
frames: 192000, reward: -18.700000, loss: 0.001075, epsilon: 0.051578, episode:  196
Save model!
frames: 193000, reward: -18.700000, loss: 0.003223, epsilon: 0.051527, episode:  196
frames: 194000, reward: -18.500000, loss: 0.002839, epsilon: 0.051477, episode:  197
Save model!
frames: 195000, reward: -18.500000, loss: 0.011658, epsilon: 0.051428, episode:  197
frames: 196000, reward: -18.500000, loss: 0.001949, epsilon: 0.051381, episode:  198
frames: 197000, reward: -18.100000, loss: 0.001546, epsilon: 0.051336, episode:  199
Save model!
frames: 198000, reward: -18.100000, loss: 0.004165, epsilon: 0.051292, episode:  199
frames: 199000, reward: -18.200000, loss: 0.008529, epsilon: 0.051250, episode:  200
frames: 200000, reward: -18.200000, loss: 0.000790, epsilon: 0.051209, episode:  200
frames: 201000, reward: -18.000000, loss: 0.001827, epsilon: 0.051169, episode:  201
Save model!
frames: 202000, reward: -18.000000, loss: 0.002826, epsilon: 0.051131, episode:  201
frames: 203000, reward: -17.900000, loss: 0.007103, epsilon: 0.051094, episode:  202
Save model!
frames: 204000, reward: -17.900000, loss: 0.001844, epsilon: 0.051058, episode:  202
frames: 205000, reward: -17.600000, loss: 0.002246, epsilon: 0.051023, episode:  203
Save model!
frames: 206000, reward: -17.600000, loss: 0.004551, epsilon: 0.050990, episode:  203
frames: 207000, reward: -17.300000, loss: 0.011161, epsilon: 0.050957, episode:  204
Save model!
frames: 208000, reward: -17.300000, loss: 0.002250, epsilon: 0.050926, episode:  204
frames: 209000, reward: -17.800000, loss: 0.003132, epsilon: 0.050896, episode:  205
frames: 210000, reward: -17.800000, loss: 0.005366, epsilon: 0.050866, episode:  205
frames: 211000, reward: -17.900000, loss: 0.009913, epsilon: 0.050838, episode:  206
frames: 212000, reward: -17.900000, loss: 0.002087, epsilon: 0.050810, episode:  206
frames: 213000, reward: -18.000000, loss: 0.003824, epsilon: 0.050784, episode:  207
frames: 214000, reward: -18.000000, loss: 0.002033, epsilon: 0.050758, episode:  207
frames: 215000, reward: -17.700000, loss: 0.002942, epsilon: 0.050733, episode:  208
frames: 216000, reward: -17.700000, loss: 0.002398, epsilon: 0.050709, episode:  208
frames: 217000, reward: -18.000000, loss: 0.001478, epsilon: 0.050686, episode:  209
frames: 218000, reward: -18.000000, loss: 0.005948, epsilon: 0.050664, episode:  210
frames: 219000, reward: -18.000000, loss: 0.001983, epsilon: 0.050642, episode:  210
frames: 220000, reward: -18.100000, loss: 0.004985, epsilon: 0.050621, episode:  211
frames: 221000, reward: -18.100000, loss: 0.001809, epsilon: 0.050600, episode:  211
frames: 222000, reward: -18.200000, loss: 0.003541, epsilon: 0.050581, episode:  212
frames: 223000, reward: -18.200000, loss: 0.002305, epsilon: 0.050562, episode:  212
frames: 224000, reward: -18.200000, loss: 0.002892, epsilon: 0.050543, episode:  213
frames: 225000, reward: -18.500000, loss: 0.001240, epsilon: 0.050525, episode:  214
frames: 226000, reward: -18.500000, loss: 0.002051, epsilon: 0.050508, episode:  214
frames: 227000, reward: -18.300000, loss: 0.003526, epsilon: 0.050492, episode:  215
frames: 228000, reward: -18.300000, loss: 0.000953, epsilon: 0.050475, episode:  215
frames: 229000, reward: -18.500000, loss: 0.003965, epsilon: 0.050460, episode:  216
frames: 230000, reward: -18.500000, loss: 0.002928, epsilon: 0.050445, episode:  216
frames: 231000, reward: -18.500000, loss: 0.003877, epsilon: 0.050430, episode:  217
frames: 232000, reward: -18.500000, loss: 0.004155, epsilon: 0.050416, episode:  217
frames: 233000, reward: -18.900000, loss: 0.002333, epsilon: 0.050402, episode:  218
frames: 234000, reward: -18.900000, loss: 0.008641, epsilon: 0.050389, episode:  218
frames: 235000, reward: -18.600000, loss: 0.004689, epsilon: 0.050376, episode:  219
frames: 236000, reward: -18.600000, loss: 0.008263, epsilon: 0.050364, episode:  219
frames: 237000, reward: -18.500000, loss: 0.005992, epsilon: 0.050352, episode:  220
frames: 238000, reward: -18.500000, loss: 0.003401, epsilon: 0.050341, episode:  221
frames: 239000, reward: -18.500000, loss: 0.001100, epsilon: 0.050329, episode:  221
frames: 240000, reward: -18.200000, loss: 0.002593, epsilon: 0.050319, episode:  222
frames: 241000, reward: -18.200000, loss: 0.002596, epsilon: 0.050308, episode:  222
frames: 242000, reward: -18.200000, loss: 0.003351, epsilon: 0.050298, episode:  222
frames: 243000, reward: -17.800000, loss: 0.003757, epsilon: 0.050288, episode:  223
frames: 244000, reward: -17.800000, loss: 0.001676, epsilon: 0.050279, episode:  223
frames: 245000, reward: -17.700000, loss: 0.000973, epsilon: 0.050270, episode:  224
frames: 246000, reward: -17.700000, loss: 0.002176, epsilon: 0.050261, episode:  224
frames: 247000, reward: -17.800000, loss: 0.004621, epsilon: 0.050252, episode:  225
frames: 248000, reward: -17.800000, loss: 0.002664, epsilon: 0.050244, episode:  225
frames: 249000, reward: -17.200000, loss: 0.001977, epsilon: 0.050236, episode:  226
Save model!
frames: 250000, reward: -17.200000, loss: 0.001092, epsilon: 0.050228, episode:  226
frames: 251000, reward: -16.400000, loss: 0.003383, epsilon: 0.050221, episode:  227
Save model!
frames: 252000, reward: -16.400000, loss: 0.001581, epsilon: 0.050214, episode:  227
frames: 253000, reward: -15.700000, loss: 0.002263, epsilon: 0.050207, episode:  228
Save model!
frames: 254000, reward: -15.700000, loss: 0.001438, epsilon: 0.050200, episode:  228
frames: 255000, reward: -15.700000, loss: 0.003098, epsilon: 0.050193, episode:  229
frames: 256000, reward: -15.700000, loss: 0.001478, epsilon: 0.050187, episode:  229
frames: 257000, reward: -15.700000, loss: 0.001451, epsilon: 0.050181, episode:  229
frames: 258000, reward: -15.100000, loss: 0.001434, epsilon: 0.050175, episode:  230
Save model!
frames: 259000, reward: -15.100000, loss: 0.001696, epsilon: 0.050169, episode:  230
frames: 260000, reward: -14.900000, loss: 0.001213, epsilon: 0.050164, episode:  231
Save model!
frames: 261000, reward: -14.900000, loss: 0.002901, epsilon: 0.050158, episode:  231
frames: 262000, reward: -14.900000, loss: 0.002853, epsilon: 0.050153, episode:  231
frames: 263000, reward: -14.800000, loss: 0.003798, epsilon: 0.050148, episode:  232
Save model!
frames: 264000, reward: -14.800000, loss: 0.000826, epsilon: 0.050143, episode:  232
frames: 265000, reward: -14.900000, loss: 0.002288, epsilon: 0.050139, episode:  233
frames: 266000, reward: -14.900000, loss: 0.004192, epsilon: 0.050134, episode:  233
frames: 267000, reward: -14.900000, loss: 0.003133, epsilon: 0.050130, episode:  233
frames: 268000, reward: -14.200000, loss: 0.005020, epsilon: 0.050125, episode:  234
Save model!
frames: 269000, reward: -14.200000, loss: 0.001270, epsilon: 0.050121, episode:  234
frames: 270000, reward: -14.200000, loss: 0.002681, epsilon: 0.050117, episode:  234
frames: 271000, reward: -13.600000, loss: 0.002811, epsilon: 0.050113, episode:  235
Save model!
frames: 272000, reward: -13.600000, loss: 0.001034, epsilon: 0.050110, episode:  235
frames: 273000, reward: -14.000000, loss: 0.000857, epsilon: 0.050106, episode:  236
frames: 274000, reward: -14.000000, loss: 0.000949, epsilon: 0.050103, episode:  236
frames: 275000, reward: -14.000000, loss: 0.002805, epsilon: 0.050099, episode:  236
frames: 276000, reward: -14.500000, loss: 0.004044, epsilon: 0.050096, episode:  237
frames: 277000, reward: -14.500000, loss: 0.001832, epsilon: 0.050093, episode:  237
frames: 278000, reward: -14.800000, loss: 0.002831, epsilon: 0.050090, episode:  238
frames: 279000, reward: -14.800000, loss: 0.002846, epsilon: 0.050087, episode:  238
frames: 280000, reward: -14.800000, loss: 0.002796, epsilon: 0.050084, episode:  238
frames: 281000, reward: -14.800000, loss: 0.002788, epsilon: 0.050081, episode:  239
frames: 282000, reward: -14.800000, loss: 0.002853, epsilon: 0.050079, episode:  239
frames: 283000, reward: -15.500000, loss: 0.001023, epsilon: 0.050076, episode:  240
frames: 284000, reward: -15.500000, loss: 0.003446, epsilon: 0.050074, episode:  240
frames: 285000, reward: -15.500000, loss: 0.002339, epsilon: 0.050071, episode:  240
frames: 286000, reward: -15.500000, loss: 0.002182, epsilon: 0.050069, episode:  241
frames: 287000, reward: -15.500000, loss: 0.002323, epsilon: 0.050067, episode:  241
frames: 288000, reward: -15.500000, loss: 0.002794, epsilon: 0.050064, episode:  241
frames: 289000, reward: -15.400000, loss: 0.001470, epsilon: 0.050062, episode:  242
frames: 290000, reward: -15.400000, loss: 0.006135, epsilon: 0.050060, episode:  242
frames: 291000, reward: -15.400000, loss: 0.002959, epsilon: 0.050058, episode:  242
frames: 292000, reward: -15.100000, loss: 0.001007, epsilon: 0.050056, episode:  243
frames: 293000, reward: -15.100000, loss: 0.002099, epsilon: 0.050054, episode:  243
frames: 294000, reward: -15.700000, loss: 0.008505, epsilon: 0.050053, episode:  244
frames: 295000, reward: -15.700000, loss: 0.001354, epsilon: 0.050051, episode:  244
frames: 296000, reward: -15.700000, loss: 0.003045, epsilon: 0.050049, episode:  244
frames: 297000, reward: -15.800000, loss: 0.002065, epsilon: 0.050048, episode:  245
frames: 298000, reward: -15.800000, loss: 0.002839, epsilon: 0.050046, episode:  245
frames: 299000, reward: -15.800000, loss: 0.002217, epsilon: 0.050045, episode:  245
frames: 300000, reward: -15.600000, loss: 0.001616, epsilon: 0.050043, episode:  246
frames: 301000, reward: -15.600000, loss: 0.002289, epsilon: 0.050042, episode:  246
frames: 302000, reward: -15.600000, loss: 0.006765, epsilon: 0.050040, episode:  246
frames: 303000, reward: -15.600000, loss: 0.000832, epsilon: 0.050039, episode:  246
frames: 304000, reward: -14.500000, loss: 0.001458, epsilon: 0.050038, episode:  247
frames: 305000, reward: -14.500000, loss: 0.003521, epsilon: 0.050037, episode:  247
frames: 306000, reward: -14.500000, loss: 0.002532, epsilon: 0.050035, episode:  247
frames: 307000, reward: -14.500000, loss: 0.001076, epsilon: 0.050034, episode:  248
frames: 308000, reward: -14.500000, loss: 0.001216, epsilon: 0.050033, episode:  248
frames: 309000, reward: -14.500000, loss: 0.001206, epsilon: 0.050032, episode:  248
frames: 310000, reward: -14.400000, loss: 0.001279, epsilon: 0.050031, episode:  249
frames: 311000, reward: -14.400000, loss: 0.003524, epsilon: 0.050030, episode:  249
frames: 312000, reward: -13.700000, loss: 0.003218, epsilon: 0.050029, episode:  250
frames: 313000, reward: -13.700000, loss: 0.000540, epsilon: 0.050028, episode:  250
frames: 314000, reward: -13.700000, loss: 0.003097, epsilon: 0.050027, episode:  250
frames: 315000, reward: -13.700000, loss: 0.001097, epsilon: 0.050026, episode:  251
frames: 316000, reward: -13.700000, loss: 0.004574, epsilon: 0.050025, episode:  251
frames: 317000, reward: -13.700000, loss: 0.002852, epsilon: 0.050024, episode:  251
frames: 318000, reward: -13.700000, loss: 0.001992, epsilon: 0.050024, episode:  251
frames: 319000, reward: -13.100000, loss: 0.002339, epsilon: 0.050023, episode:  252
Save model!
frames: 320000, reward: -13.100000, loss: 0.002422, epsilon: 0.050022, episode:  252
frames: 321000, reward: -13.100000, loss: 0.001707, epsilon: 0.050021, episode:  252
frames: 322000, reward: -13.200000, loss: 0.001182, epsilon: 0.050021, episode:  253
frames: 323000, reward: -13.200000, loss: 0.001681, epsilon: 0.050020, episode:  253
frames: 324000, reward: -13.200000, loss: 0.001734, epsilon: 0.050019, episode:  253
frames: 325000, reward: -11.600000, loss: 0.006203, epsilon: 0.050019, episode:  254
Save model!
frames: 326000, reward: -11.600000, loss: 0.004081, epsilon: 0.050018, episode:  254
frames: 327000, reward: -11.600000, loss: 0.003980, epsilon: 0.050018, episode:  254
frames: 328000, reward: -11.600000, loss: 0.001239, epsilon: 0.050017, episode:  254
frames: 329000, reward: -10.700000, loss: 0.000951, epsilon: 0.050016, episode:  255
Save model!
